index,whisky,score,reviews,cost,class,cluster,country,type
268,Singleton of Glen Ord 18yo,8.38,3,4,SingleMalt-like,C,Scotland,Malt
269,Bladnoch 15yo Adela,8.36,4,5,SingleMalt-like,C,Scotland,Malt
270,Jura 21yo,8.36,6,5,SingleMalt-like,C,Scotland,Malt
271,Aberlour 12yo Double Cask Matured,8.35,17,3,SingleMalt-like,B,Scotland,Malt
272,Bladnoch Samsara,8.35,3,4,SingleMalt-like,C,Scotland,Malt
273,Glen Garioch 16yo Renaissance Chapter II,8.35,4,4,SingleMalt-like,C,Scotland,Malt
274,Glenfarclas 10yo,8.35,16,3,SingleMalt-like,B,Scotland,Malt
275,Tomatin Cu Bocan Sherry Edition,8.35,4,4,SingleMalt-like,C,Scotland,Malt
276,Arran Malt Pomerol Bordeaux Cask Finish,8.34,8,4,SingleMalt-like,C,Scotland,Malt
277,Dalmore King Alexander III,8.34,10,5,SingleMalt-like,C,Scotland,Malt
278,Glencadam 12yo Port Wood Finish,8.34,6,3,SingleMalt-like,C,Scotland,Malt
279,Tyrconnell 10yo Sherry Cask Finish,8.34,7,4,SingleMalt-like,B,Ireland,Malt
280,Balvenie 12yo Triple Cask,8.33,11,4,SingleMalt-like,A,Scotland,Malt
281,Dalmore Cigar Malt Reserve,8.33,12,5,SingleMalt-like,C,Scotland,Malt
282,Benrinnes 15yo F&F,8.32,7,4,SingleMalt-like,C,Scotland,Malt
283,Dalmore 15yo,8.31,20,4,SingleMalt-like,C,Scotland,Malt
284,Jura 12yo Elixir,8.31,10,3,SingleMalt-like,C,Scotland,Malt
285,Arran Malt Sherry Cask Finish,8.3,11,5,SingleMalt-like,C,Scotland,Malt
286,Glenfiddich Malt Master's Edition,8.3,7,4,SingleMalt-like,A,Scotland,Malt
287,Kavalan Concertmaster Port Cask,8.3,20,4,SingleMalt-like,C,Taiwan,Malt
288,Aberlour 10yo,8.27,15,2,SingleMalt-like,C,Scotland,Malt
289,Auchentoshan Three Wood,8.27,23,4,SingleMalt-like,A,Scotland,Malt
290,Jura 21yo 200th Anniversary,8.27,4,5,SingleMalt-like,C,Scotland,Malt
291,Writers Tears Red Head Single Malt,8.27,4,3,SingleMalt-like,C,Irish,Malt
292,Macallan 1824 Select Oak,8.26,12,3,SingleMalt-like,C,Scotland,Malt
293,Bowmore Black Rock,8.25,9,2,SingleMalt-like,C,Scotland,Malt
294,Wemyss Malts Velvet Fig,8.25,5,3,SingleMalt-like,A,Scotland,Malt
295,Glenfiddich Reserve Cask,8.24,8,3,SingleMalt-like,A,Scotland,Malt
296,Glen Moray 16yo,8.23,6,3,SingleMalt-like,C,Scotland,Malt
297,Glenrothes Robur Reserve,8.22,6,2,SingleMalt-like,B,Scotland,Malt
298,Tullibardine 500 Sherry Finish,8.22,8,3,SingleMalt-like,C,Scotland,Malt
299,Mackmyra Blomstertid,8.2,3,4,SingleMalt-like,C,Sweden,Malt
300,Ben Nevis 10yo,8.17,11,3,SingleMalt-like,C,Scotland,Malt
301,Bushmills 21yo Single Malt,8.16,12,5,SingleMalt-like,C,Ireland,Malt
302,Bushmills Sherry Cask Reserve,8.16,3,4,SingleMalt-like,C,Ireland,Malt
303,Singleton of Dufftown Tailfire,8.14,3,2,SingleMalt-like,C,Scotland,Malt
304,Glenrothes Sherry Cask Reserve,8.13,10,4,SingleMalt-like,A,Scotland,Malt
305,Dalmore Gran Reserva,8.07,9,3,SingleMalt-like,C,Scotland,Malt
306,Laphroaig Select,8.04,15,3,SingleMalt-like,C,Scotland,Malt
307,Jura 16yo,7.98,5,4,SingleMalt-like,C,Scotland,Malt
308,Tullibardine 1993 Port,7.98,5,4,SingleMalt-like,B,Scotland,Malt
309,Longmorn Distiller's Choice,7.97,8,4,SingleMalt-like,C,Scotland,Malt
310,Royal Lochnagar 12yo,7.95,12,2,SingleMalt-like,C,Scotland,Malt
311,Amrut PX Sherry Single Cask 2702,7.92,3,4,SingleMalt-like,B,India,Malt
312,Jura Turas Mara,7.92,5,2,SingleMalt-like,C,Scotland,Malt
313,Penderyn Madeira,7.89,13,4,SingleMalt-like,B,Wales,Malt
314,Penderyn Sherrywood,7.73,10,4,SingleMalt-like,B,Wales,Malt
315,Singleton of Dufftown Spey Cascade,7.49,3,2,SingleMalt-like,C,Scotland,Malt
316,Penderyn Legend,7.48,4,3,SingleMalt-like,B,Wales,Malt
317,Ichiro's Malt The Joker,9.23,4,6,SingleMalt-like,F,Japan,Malt
318,Bunnahabhain 40yo,9.14,6,6,SingleMalt-like,F,Scotland,Malt
319,Amrut 6yo Virgin Oak Single Cask,9.13,4,4,SingleMalt-like,E,India,Malt
320,Hibiki 21yo,9.13,9,6,SingleMalt-like,E,Japan,Blend
321,Bruichladdich Black Art 3.x 1989,9.09,12,6,SingleMalt-like,E,Scotland,Malt
322,Amrut Double Cask,9.08,7,4,SingleMalt-like,E,India,Malt
323,Glencadam 25yo,9.08,3,6,SingleMalt-like,E,Scotland,Malt
324,GlenDronach 19yo Madeira Finish,9.05,4,5,SingleMalt-like,E,Scotland,Malt
325,Glenfiddich 30yo,9.05,3,6,SingleMalt-like,E,Scotland,Malt
326,Midleton Dair Ghaelach,9.05,8,5,SingleMalt-like,E,Ireland,Blend
327,Macallan Edition No. 3,9.04,3,5,SingleMalt-like,E,Scotland,Malt
328,Cragganmore 25yo,9.03,4,6,SingleMalt-like,E,Scotland,Malt
329,Redbreast 12yo Cask Strength,9.03,19,4,SingleMalt-like,E,Ireland,Malt
330,Bruichladdich Black Art 2.x 1989,9.02,8,6,SingleMalt-like,E,Scotland,Malt
331,Mackmyra Reserve Single Cask (various casks),9.01,7,5,SingleMalt-like,E,Sweden,Malt
332,Craigellachie 23yo,8.98,8,6,SingleMalt-like,E,Scotland,Malt
333,Compass Box 3yo Deluxe,8.96,9,6,SingleMalt-like,F,Scotland,Malt
334,Yamazaki Mizunara,8.95,8,6,SingleMalt-like,E,Japan,Malt
335,Aultmore 25yo,8.94,4,6,SingleMalt-like,E,Scotland,Malt
336,Box The 2nd Step Collection 02,8.94,6,5,SingleMalt-like,E,Sweden,Malt
337,Arran Malt 18yo,8.93,16,5,SingleMalt-like,E,Scotland,Malt
338,Kavalan ex-Bourbon Oak,8.93,5,4,SingleMalt-like,E,Taiwan,Malt
339,Tomatin Decades,8.93,9,5,SingleMalt-like,E,Scotland,Malt
340,Glenlivet Nadurra First Fill (White Oak),8.91,5,4,SingleMalt-like,E,Scotland,Malt
341,Amrut Herald,8.9,6,4,SingleMalt-like,E,India,Malt
342,Bruichladdich Black Art 5.x 1992,8.9,7,6,SingleMalt-like,E,Scotland,Malt
343,Glen Grant 25yo,8.9,3,5,SingleMalt-like,E,Scotland,Malt
344,Paul John Single Cask,8.9,5,4,SingleMalt-like,E,India,Malt
345,Amrut Fusion,8.89,25,4,SingleMalt-like,E,India,Malt
346,Glenmorangie Ealanta,8.89,16,6,SingleMalt-like,F,Scotland,Malt
347,Yamazaki Limited Edition 2016,8.89,3,6,SingleMalt-like,E,Japan,Malt
348,Macallan Edition No. 2,8.88,13,5,SingleMalt-like,E,Scotland,Malt
349,Arran Malt Bourbon Single Cask,8.85,10,4,SingleMalt-like,E,Scotland,Malt
350,Arran Malt The Deviläó»s Punch Bowl (all chapters),8.85,10,5,SingleMalt-like,E,Scotland,Malt
351,Kavalan Solist Ex-Bourbon,8.85,19,5,SingleMalt-like,E,Taiwan,Malt
352,Kininvie 17yo (all batches),8.85,9,6,SingleMalt-like,E,Scotland,Malt
353,Arran Malt 17yo,8.84,11,4,SingleMalt-like,E,Scotland,Malt
354,Glenmorangie Astar,8.84,16,5,SingleMalt-like,E,Scotland,Malt
355,Mackmyra Moment Glí_d,8.84,4,5,SingleMalt-like,E,Sweden,Malt
356,Compass Box Spice Tree Extravaganza,8.83,10,5,SingleMalt-like,F,Scotland,Malt
357,Macallan Edition No. 1,8.83,8,5,SingleMalt-like,E,Scotland,Malt
358,Auchentoshan 21yo,8.82,12,5,SingleMalt-like,E,Scotland,Malt
359,Nikka From the Barrel,8.82,23,3,SingleMalt-like,F,Japan,Blend
360,Amrut Two Continents,8.81,13,4,SingleMalt-like,E,India,Malt
361,Glenlivet 21yo Archive (all batches),8.81,13,5,SingleMalt-like,E,Scotland,Malt
362,Mackmyra Moment Urberg,8.81,3,5,SingleMalt-like,E,Sweden,Malt
363,Glenfiddich Project XX Experimental Series,8.8,10,4,SingleMalt-like,E,Scotland,Malt
364,Midleton Very Rare (all vintages),8.8,12,5,SingleMalt-like,E,Ireland,Blend
365,Strathmill 25yo,8.8,4,6,SingleMalt-like,E,Scotland,Malt
366,Aberfeldy 21yo,8.79,10,5,SingleMalt-like,E,Scotland,Malt
367,BenRiach 25yo,8.79,15,6,SingleMalt-like,E,Scotland,Malt
368,Clynelish 14yo,8.79,17,4,SingleMalt-like,F,Scotland,Malt
369,Compass Box Spice Tree,8.79,23,4,SingleMalt-like,F,Scotland,Malt
370,Cragganmore NAS (Special Release 2016),8.79,5,5,SingleMalt-like,E,Scotland,Malt
371,Midleton Very Rare 2016,8.79,3,5,SingleMalt-like,E,Ireland,Blend
372,Mortlach Special Strength,8.79,6,5,SingleMalt-like,E,Scotland,Malt
373,Arran Malt Tokaji Aszu Wine Finish,8.78,4,4,SingleMalt-like,F,Scotland,Malt
374,Glen Grant Five Decades,8.78,6,5,SingleMalt-like,E,Scotland,Malt
375,Nikka Taketsuru 17yo,8.78,15,5,SingleMalt-like,E,Japan,Malt
376,Old Pulteney 17yo,8.78,20,5,SingleMalt-like,E,Scotland,Malt
377,Hakushu 18yo,8.77,8,5,SingleMalt-like,F,Japan,Malt
378,Hibiki 17yo,8.77,16,5,SingleMalt-like,E,Japan,Blend
379,Mackmyra Moment Rimfrost,8.76,3,5,SingleMalt-like,E,Sweden,Malt
380,Nikka Coffey Malt,8.76,12,4,SingleMalt-like,E,Japan,Malt
381,Mackmyra Special 04,8.75,8,4,SingleMalt-like,E,Sweden,Malt
382,Amrut Bourbon Single Cask,8.74,13,4,SingleMalt-like,E,India,Malt
383,Bruichladdich 21yo Cuví©e 640 Eroica,8.74,9,5,SingleMalt-like,E,Scotland,Malt
384,Glenfiddich 19yo Age of Discovery (Bourbon Cask),8.74,9,5,SingleMalt-like,E,Scotland,Malt
385,Glenfiddich Cask of Dreams,8.74,7,5,SingleMalt-like,F,Scotland,Malt
386,Redbreast 12yo,8.73,23,3,SingleMalt-like,E,Ireland,Malt
387,Arran Malt Napoleon Cognac Finish,8.72,5,4,SingleMalt-like,E,Scotland,Malt
388,Macallan 18yo Fine Oak,8.72,7,5,SingleMalt-like,E,Scotland,Malt
389,Redbreast 15yo,8.72,15,4,SingleMalt-like,E,Ireland,Malt
390,Balcones Texas Single Malt Whisky,8.71,13,4,SingleMalt-like,E,USA,Malt
391,Glenfiddich 15yo Distillery Edition,8.71,15,4,SingleMalt-like,E,Scotland,Malt
392,Westland Single Cask,8.71,4,4,SingleMalt-like,E,USA,Malt
393,Glenmorangie 18yo,8.7,16,5,SingleMalt-like,E,Scotland,Malt
394,Mortlach 18yo,8.7,10,6,SingleMalt-like,E,Scotland,Malt
395,Mackmyra Special 03,8.69,7,5,SingleMalt-like,E,Sweden,Malt
396,AnCnoc 18yo,8.68,10,4,SingleMalt-like,E,Scotland,Malt
397,Storas 21yo Rare Cask Reserves Blended,8.68,4,3,SingleMalt-like,E,Scotland,Blend
398,Balvenie 25yo Single Barrel,8.67,3,6,SingleMalt-like,E,Scotland,Malt
399,Compass Box Oak Cross,8.67,14,3,SingleMalt-like,F,Scotland,Malt
400,Glen Garioch 12yo,8.67,16,4,SingleMalt-like,F,Scotland,Malt
401,Royal Brackla 16yo,8.67,7,5,SingleMalt-like,E,Scotland,Malt
402,Bunnahabhain 12yo,8.66,23,3,SingleMalt-like,F,Scotland,Malt
403,Ichiro's Malt Double Distilleries,8.65,8,5,SingleMalt-like,E,Japan,Malt
404,Bruichladdich 21yo Cuví©e 382 La Berenice,8.64,7,5,SingleMalt-like,E,Scotland,Malt
405,Copperworks American Single Malt,8.64,5,3,SingleMalt-like,E,USA,Malt
406,Glenrothes Vintage 1995 (all bottlings),8.64,15,4,SingleMalt-like,E,Scotland,Malt
407,Bruichladdich Black Art 4.x 1990,8.63,12,6,SingleMalt-like,E,Scotland,Malt
408,Paul John Classic Select Cask,8.63,7,4,SingleMalt-like,E,India,Malt
409,Balvenie 12yo Single Barrel,8.62,12,4,SingleMalt-like,E,Scotland,Malt
410,Mackmyra Special 09,8.62,4,4,SingleMalt-like,E,Sweden,Malt
411,Sullivans Cove American Oak,8.62,6,5,SingleMalt-like,E,Tasmania,Malt
412,Caol Ila 17yo Unpeated,8.61,11,5,SingleMalt-like,E,Scotland,Malt
413,Glenlivet Cipher,8.61,7,4,SingleMalt-like,E,Scotland,Malt
414,Kilkerran Work in Progress Sherry Wood,8.61,11,4,SingleMalt-like,E,Scotland,Malt
415,Craigellachie 17yo,8.6,11,5,SingleMalt-like,E,Scotland,Malt
416,Glenlivet 18yo,8.59,24,5,SingleMalt-like,E,Scotland,Malt
417,Westland American Single Malt,8.59,14,4,SingleMalt-like,E,USA,Malt
418,Glenfiddich 18yo,8.58,21,5,SingleMalt-like,E,Scotland,Malt
419,Midleton Very Rare 2015,8.57,5,5,SingleMalt-like,E,Ireland,Blend
420,Teerenpeli Distiller's Choice KASKI,8.56,3,4,SingleMalt-like,E,Finland,Malt
421,Glen Grant 18yo,8.55,6,5,SingleMalt-like,E,Scotland,Malt
422,Glenfiddich 14yo Rich Oak,8.55,11,3,SingleMalt-like,E,Scotland,Malt
423,Mackmyra Moment Jord,8.55,3,4,SingleMalt-like,E,Sweden,Malt
424,Sullivans Cove Port Cask Strength,8.55,8,5,SingleMalt-like,E,Tasmania,Malt
425,Teerenpeli Distilleräó»s Choice RASI,8.55,3,4,SingleMalt-like,E,Finland,Malt
426,Glengoyne 17yo,8.54,14,5,SingleMalt-like,E,Scotland,Malt
427,Kininvie 23yo (all batches),8.54,9,6,SingleMalt-like,E,Scotland,Malt
428,Sullivans Cove Bourbon Cask Strength,8.54,6,4,SingleMalt-like,F,Tasmania,Malt
429,Yamazaki Distiller's Reserve,8.54,7,4,SingleMalt-like,E,Japan,Malt
430,Box The Messenger,8.53,4,5,SingleMalt-like,E,Sweden,Malt
431,Bunnahabhain Stiuireadair,8.53,4,3,SingleMalt-like,F,Scotland,Malt
432,Nikka Pure Malt Red,8.53,9,3,SingleMalt-like,E,Japan,Malt
433,Tyrconnell 10yo Madeira Cask Finish,8.53,11,4,SingleMalt-like,E,Ireland,Malt
434,Deanston 18yo (Bourbon Finish),8.52,6,5,SingleMalt-like,E,Scotland,Malt
435,Glen Grant 16yo,8.51,7,4,SingleMalt-like,E,Scotland,Malt
436,Macallan 21yo Fine Oak,8.51,6,6,SingleMalt-like,E,Scotland,Malt
437,Arran Malt Sauternes Finish,8.5,13,3,SingleMalt-like,E,Scotland,Malt
438,Balvenie 14yo Carribean Cask,8.5,20,4,SingleMalt-like,F,Scotland,Malt
439,Paul John Brilliance,8.5,9,3,SingleMalt-like,E,India,Malt
440,Mackmyra Moment Solsken,8.49,3,5,SingleMalt-like,E,Sweden,Malt
441,Mackmyra Special 05,8.49,7,4,SingleMalt-like,E,Sweden,Malt
442,Bunnahabhain Eirigh Na Greine,8.48,9,4,SingleMalt-like,F,Scotland,Malt
443,Green Spot,8.48,18,4,SingleMalt-like,F,Ireland,Malt
444,Macallan 12yo Double Cask,8.48,9,4,SingleMalt-like,E,Scotland,Malt
445,Mortlach Rare Old,8.48,14,5,SingleMalt-like,E,Scotland,Malt
446,Glenrothes Vintage Reserve (NAS),8.47,7,3,SingleMalt-like,E,Scotland,Malt
447,Mackmyra Moment Kí_lla,8.47,3,5,SingleMalt-like,E,Sweden,Malt
448,Deveron 18yo,8.45,6,4,SingleMalt-like,E,Scotland,Malt
449,Mackmyra Moment Malstrí_m (Maelstrom),8.45,3,5,SingleMalt-like,E,Sweden,Malt
450,Old Pulteney 12yo,8.45,26,3,SingleMalt-like,E,Scotland,Malt
451,Singleton of Glen Ord 15yo,8.45,4,4,SingleMalt-like,E,Scotland,Malt
452,GlenDronach 8yo The Hielan,8.44,11,3,SingleMalt-like,E,Scotland,Malt
453,Macallan 15yo Fine Oak,8.44,12,5,SingleMalt-like,E,Scotland,Malt
454,Nikka All Malt,8.44,8,2,SingleMalt-like,E,Japan,Malt
455,Tullibardine 25yo,8.43,6,6,SingleMalt-like,E,Ireland,Malt
456,Benromach Organic,8.42,15,4,SingleMalt-like,E,Scotland,Malt
457,Dalmore 12yo,8.42,20,3,SingleMalt-like,E,Scotland,Malt
458,Glen Elgin 12yo,8.42,16,4,SingleMalt-like,E,Scotland,Malt
459,Mackmyra Special 10,8.42,3,4,SingleMalt-like,E,Sweden,Malt
460,Nikka Taketsuru 12yo,8.41,19,4,SingleMalt-like,E,Japan,Malt
461,Teerenpeli 8yo,8.41,6,5,SingleMalt-like,E,Finland,Malt
462,Bunnahabhain Darach Ur,8.4,10,3,SingleMalt-like,F,Scotland,Malt
463,Glenfiddich Experimental Series IPA Cask Finish,8.4,11,3,SingleMalt-like,E,Scotland,Malt
464,Singleton of Dufftown 18yo,8.4,4,4,SingleMalt-like,E,Scotland,Malt
465,Auchentoshan 18yo,8.38,14,5,SingleMalt-like,E,Scotland,Malt
466,Glenlivet 15yo French Oak,8.38,19,4,SingleMalt-like,F,Scotland,Malt
467,Craigellachie 14yo,8.37,6,6,SingleMalt-like,F,Scotland,Malt
468,BenRiach 12yo Horizons,8.36,7,4,SingleMalt-like,E,Scotland,Malt
469,Cragganmore 12yo,8.35,17,3,SingleMalt-like,E,Scotland,Malt
470,Deveron 12yo,8.35,6,3,SingleMalt-like,E,Scotland,Malt
471,Mackmyra Special 08,8.35,3,4,SingleMalt-like,E,Sweden,Malt
472,Old Pulteney Navigator,8.35,13,3,SingleMalt-like,E,Scotland,Malt
473,Glencadam Origin 1825 (NAS),8.34,3,2,SingleMalt-like,E,Scotland,Malt
474,Glenfiddich 14yo Bourbon Barrel Reserve,8.33,9,4,SingleMalt-like,E,Scotland,Malt
475,Singleton of Dufftown 15yo,8.33,7,3,SingleMalt-like,E,Scotland,Malt
476,Teeling Small Batch (Rum Cask Finish),8.33,22,2,SingleMalt-like,E,Ireland,Blend
477,Glenrothes Vintage 1998 (2014),8.32,11,4,SingleMalt-like,F,Scotland,Malt
478,Tomatin 15yo,8.32,7,4,SingleMalt-like,E,Scotland,Malt
479,Knappogue Castle 14yo Twin Wood,8.31,4,4,SingleMalt-like,E,Ireland,Malt
480,Monkey Shoulder,8.31,19,2,SingleMalt-like,E,Scotland,Malt
481,Ohishi Brandy Cask,8.31,3,4,SingleMalt-like,E,Scotland,Malt
482,Tullibardine 225 Sauternes Finish,8.31,6,4,SingleMalt-like,E,Scotland,Malt
483,Macallan 1824 Amber,8.3,13,3,SingleMalt-like,E,Scotland,Malt
484,Singleton of Glen Ord 12yo,8.3,6,2,SingleMalt-like,E,Scotland,Malt
485,Sullivans Cove Double Cask,8.3,14,4,SingleMalt-like,E,Tasmania,Malt
486,Scapa 16yo,8.29,16,4,SingleMalt-like,E,Scotland,Malt
487,Wemyss Malts Smooth Gentleman,8.29,3,3,SingleMalt-like,E,Scotland,Malt
488,Auchentoshan 12yo,8.28,23,3,SingleMalt-like,E,Scotland,Malt
489,Teaninich 10yo (F&F),8.27,4,NA,SingleMalt-like,F,Scotland,Malt
490,Auchentoshan Bartender's Malt,8.26,4,2,SingleMalt-like,E,Scotland,Malt
491,Bruichladdich Black Art 1989,8.26,4,6,SingleMalt-like,E,Scotland,Malt
492,Glen Breton 21yo,8.26,3,5,SingleMalt-like,E,Canada,Malt
493,Macallan 10yo Fine Oak,8.26,19,3,SingleMalt-like,E,Scotland,Malt
494,Stalk & Barrel Single Malt (All Casks),8.26,13,3,SingleMalt-like,F,Canada,Malt
495,Glenrothes Elders' Reserve,8.25,7,4,SingleMalt-like,E,Scotland,Malt
496,Tobermory 10yo,8.25,23,3,SingleMalt-like,F,Scotland,Malt
497,Royal Brackla 12yo,8.24,12,4,SingleMalt-like,E,Scotland,Malt
498,Scallywag,8.24,14,4,SingleMalt-like,E,Switzerland,Malt
499,Edradour 10yo,8.23,17,3,SingleMalt-like,E,Scotland,Malt
500,Arran Malt Robert Burns Single Malt,8.22,8,2,SingleMalt-like,F,Scotland,Malt
501,Bruichladdich Sherry Classic,8.22,6,4,SingleMalt-like,E,Scotland,Malt
502,Strathisla 12yo,8.22,14,3,SingleMalt-like,E,Scotland,Malt
503,Tomintoul 12yo Oloroso Sherry,8.21,11,4,SingleMalt-like,E,Scotland,Malt
504,Glenfiddich Select Cask,8.2,10,3,SingleMalt-like,E,Scotland,Malt
505,Tullibardine 1993 Sauternes,8.2,5,3,SingleMalt-like,E,Scotland,Malt
506,Deanston 12yo,8.19,17,3,SingleMalt-like,F,Scotland,Malt
507,Glenrothes Vintage 2001 (all bottlings),8.18,9,4,SingleMalt-like,E,Scotland,Malt
508,Aberfeldy 12yo,8.16,19,3,SingleMalt-like,E,Scotland,Malt
509,Auchroisk 10yo (F&F),8.15,4,3,SingleMalt-like,E,Scotland,Malt
510,Glen Moray 10yo Chardonnay Cask,8.14,10,2,SingleMalt-like,F,Scotland,Malt
511,Gouden Carolus Single Malt,8.14,4,4,SingleMalt-like,E,Belgium,Malt
512,Singleton of Dufftown Unití©,8.11,4,2,SingleMalt-like,E,Scotland,Malt
513,BenRiach 15yo Sauternes Finish,8.1,3,4,SingleMalt-like,F,Scotland,Malt
514,Glen Garioch Virgin Oak,8.1,6,4,SingleMalt-like,E,Scotland,Malt
515,Miltonduff 10yo (F&F),8.08,4,3,SingleMalt-like,E,Scotland,Malt
516,Dalmore Valour,8.06,9,4,SingleMalt-like,E,Scotland,Malt
517,Glenlivet 12yo,8.06,22,3,SingleMalt-like,E,Scotland,Malt
518,Tomatin 12yo,8.06,19,2,SingleMalt-like,E,Scotland,Malt
519,Tullibardine 228 Burgundy Finish,8.06,4,3,SingleMalt-like,E,Scotland,Malt
520,Singleton of Glendullan 12yo,8.05,14,2,SingleMalt-like,E,Scotland,Malt
521,Nikka Super,8.04,8,3,SingleMalt-like,E,Japan,Malt
522,Tullamore Dew 10yo Single Malt,8.03,6,3,SingleMalt-like,E,Ireland,Malt
523,Glenburgie 10yo (Gordon & MacPhail),8.02,7,3,SingleMalt-like,F,Scotland,Malt
524,The Irishman Single Malt (NAS),8,6,3,SingleMalt-like,E,Ireland,Malt
525,Glen Deveron 10yo (Macduff),7.98,5,2,SingleMalt-like,E,Scotland,Malt
526,Glenlivet Founder's Reserve,7.97,15,2,SingleMalt-like,E,Scotland,Malt
527,Millstone 8yo French Oak,7.97,4,4,SingleMalt-like,E,Netherlands,Malt
528,Santis Edition Sigel,7.93,7,3,SingleMalt-like,E,Switzerland,Malt
529,Scapa Skiren,7.92,11,4,SingleMalt-like,E,Scotland,Malt
530,Singleton of Glen Ord Signature,7.91,3,3,SingleMalt-like,E,Scotland,Malt
531,Singleton of Dufftown 12yo,7.9,10,2,SingleMalt-like,E,Scotland,Malt
532,Glen Moray 12yo Chenin Blanc,7.87,6,2,SingleMalt-like,F,Scotland,Malt
533,Glenrothes Select Reserve,7.8,14,3,SingleMalt-like,E,Scotland,Malt
534,Penderyn Aur Cymru,7.73,8,4,SingleMalt-like,E,Wales,Malt
535,Speyside 10yo,7.71,4,3,SingleMalt-like,E,Scotland,Malt
536,Mars Iwai Tradition,7.69,4,4,SingleMalt-like,E,Japan,Blend
537,Mackmyra Special 01,7.63,3,5,SingleMalt-like,E,Sweden,Malt
538,Glen Moray 16yo Chenin Blanc,7.59,4,3,SingleMalt-like,F,Scotland,Malt
539,Santis Edition Sí_ntis,7.56,7,4,SingleMalt-like,F,Switzerland,Malt
540,McClelland's Speyside Single Malt,6.97,7,2,SingleMalt-like,F,Scotland,Malt
541,Kavalan Solist Moscatel Cask,9.18,4,6,SingleMalt-like,G,Scotland,Malt
542,Midleton Barry Crockett Legacy,9.08,10,5,SingleMalt-like,G,Ireland,Blend
543,Yamazaki Limited Edition 2015,8.99,3,6,SingleMalt-like,G,Japan,Malt
